118,138
117,137
116,158
136,157
148,156
135,155
119,139
115,134
146,147
114,154
111,151
110,149
159,160
113,153
133,152
127,128
120,140
76,145
108,150
58,78
57,77
59,79
143,144
125,126
109,149
129,130
98,163
97,164
55,75
105,107
88,178
156,165
121,141
112,151
95,132
66,124
104,106
90,188
74,142
68,166
56,170
49,69
97,137
94,96
39,161
136,167
99,169
91,131
70,174
67,145
46,198
155,159
109,110
98,138
92,131
86,186
80,184
171,183
135,154
118,157
112,179
100,169
93,197
87,127
65,180
47,67
37,115
107,146
89,129
77,108
72,173
71,181
66,144
56,76
38,96
36,172
16,206
177,191
164,189
160,187
150,168
114,153
106,147
84,123
78,101
60,162
27,192
26,199
157,176
140,152
137,142
130,210
117,182
116,185
73,159
64,201
50,70
48,202
15,54
225,261
173,193
163,209
158,204
136,148
132,172
116,156
115,165
100,139
99,155
73,111
61,134
52,183
35,74
30,211
17,95
175,200
168,213
158,163
157,167
141,215
133,227
128,231
126,226
122,195
119,207
103,142
102,112
101,177
94,217
79,171
69,147
65,75
58,150
51,236
40,179
38,118
36,239
18,237
194,228
190,277
164,216
156,196
146,250
137,189
134,135
124,246
124,125
123,191
120,214
119,166
117,203
113,114
107,212
97,184
96,135
80,263
71,128
68,78
57,168
29,242
28,108
20,60
19,178
197,217
194,238
186,226
180,235
175,255
166,190
161,176
158,167
154,243
150,211
149,157
147,185
145,192
143,170
139,271
133,170
132,291
126,260
121,219
118,136
117,172
106,109
105,148
104,171
93,216
85,328
85,193
79,218
78,174
76,165
75,95
69,181
63,152
59,164
56,77
55,153
54,267
53,182
37,302
33,62
32,72
31,70
25,103
10,278
296,319
285,308
259,325
241,300
235,249
230,281
224,292
208,245
205,326
200,221
195,247
185,199
180,229
173,234
169,273
168,220
166,299
163,240
162,265
162,213
159,287
159,266
155,232
153,196
151,190
146,329
144,244
143,149
140,176
138,146
130,136
127,204
122,253
116,224
115,275
111,223
104,256
100,142
89,210
87,231
81,161
81,160
80,141
77,131
71,112
70,132
68,182
60,280
51,129
50,276
48,222
45,246
40,120
36,165
35,262
34,257
30,259
28,106
24,34
23,365
22,32
21,31
19,74
14,54
12,17
11,408
9,409
8,193
7,351
6,421
370,435
369,419
349,371
343,436
318,357
316,358
306,336
305,397
290,431
289,430
274,434
270,293
258,368
254,444
254,272
250,352
238,279
234,282
228,438
222,253
219,297
218,439
218,323
208,309
206,254
205,264
204,324
203,347
201,310
195,311
187,245
182,284
181,427
176,378
175,269
168,262
167,294
164,174
158,223
156,248
154,342
154,288
153,183
151,212
148,418
148,202
147,420
147,181
145,172
144,159
140,270
139,313
138,389
134,177
133,274
133,134
132,166
130,163
126,401
125,198
123,402
121,230
120,184
119,374
118,176
117,247
115,169
114,215
114,140
113,207
111,181
110,426
109,233
108,348
107,327
107,322
101,160
99,139
98,160
98,144
94,331
94,205
83,500
82,286
80,338
79,295
78,395
77,317
76,406
74,150
71,152
68,161
66,249
64,122
63,428
63,257
62,120
61,457
60,155
58,97
57,301
56,364
53,330
53,131
50,440
45,128
44,64
42,52
41,51
39,298
39,171
38,268
37,491
37,241
36,116
33,233
33,72
29,187
28,232
26,461
18,96
13,494
517,543
514,559
501,557
492,563
489,522
483,558
481,516
472,477
470,471
465,502
462,486
458,552
455,499
454,561
449,482
443,525
437,572
433,542
432,480
429,568
425,508
424,506
422,441
416,550
403,549
399,400
394,451
390,577
388,584
381,556
375,573
373,377
372,585
368,507
367,521
366,464
363,575
362,425
360,548
359,362
356,456
356,423
354,385
353,437
350,566
344,459
344,384
343,588
341,580
340,597
340,433
339,574
336,383
334,503
332,528
324,411
323,593
320,578
318,590
315,569
314,497
312,353
310,533
308,399
307,327
304,346
301,587
300,498
299,463
297,303
296,450
295,312
294,407
292,510
290,350
289,398
289,338
287,380
285,621
284,361
283,565
282,589
279,359
273,407
272,509
272,379
269,560
267,317
265,415
263,475
260,605
258,341
256,630
256,393
252,257
251,487
249,384
248,534
248,405
245,642
244,625
242,619
241,252
240,396
240,297
239,448
237,382
236,423
235,545
234,511
232,288
229,530
224,479
223,535
222,613
221,313
220,626
220,615
215,646
213,592
212,220
209,628
208,515
208,314
207,209
205,641
205,277
203,268
196,636
195,258
194,490
192,452
191,654
190,251
188,544
187,410
187,225
186,260
184,298
183,221
182,618
180,333
179,609
178,643
177,339
177,280
175,194
174,284
173,252
172,670
171,553
170,446
170,337
168,229
167,221
167,216
167,202
166,276
166,169
165,700
165,629
165,386
162,614
162,607
161,539
160,179
159,532
159,208
158,523
158,391
158,283
157,196
156,442
156,175
155,203
154,222
153,157
152,632
152,576
150,175
150,173
149,699
148,415
148,158
146,519
143,537
143,332
142,175
141,271
140,663
139,737
138,392
138,390
137,721
137,453
136,750
135,540
135,233
134,345
133,137
129,713
126,190
125,683
124,247
123,711
121,429
119,702
119,505
119,140
118,466
117,705
117,665
117,616
117,264
115,417
113,275
113,189
111,740
110,707
109,696
109,234
107,634
106,474
105,309
103,767
102,730
102,200
100,113
98,180
96,168
95,159
94,190
93,488
90,103
81,189
80,795
80,754
79,306
79,164
78,325
78,131
77,752
77,727
77,485
77,99
76,243
76,229
75,121
73,555
73,160
73,154
73,91
72,739
72,386
71,698
70,76
69,668
69,655
69,376
68,764
67,623
67,512
64,288
62,547
61,583
61,186
60,147
59,801
59,620
59,432
59,151
58,652
58,174
57,611
56,644
56,303
55,776
54,174
52,321
49,369
48,358
47,833
45,538
43,92
40,660
39,127
38,751
38,207
35,671
34,686
32,414
30,595
30,357
29,772
27,681
29,680
20,674
25,824
19,571
